employee_id,age,years_experience,salary_usd,performance_score,satisfaction_score,remote_days_per_week,projects_completed,training_hours,department,city
1045,63,41,77572.5,83.7,93.5,5,5,49.5,IT,Rosario
1046,40,13,65238.4,82.6,88.7,4,13,42.1,HR,Córdoba
1047,60,35,105939.76,71.5,49.2,0,3,45.6,Finance,Córdoba
1048,50,29,82043.64,87.8,66.2,5,6,38.0,HR,Rosario
1049,55,27,96035.6,75.0,76.0,2,8,45.9,HR,Buenos Aires
1050,54,31,96649.15,76.3,64.1,1,11,68.7,Marketing,Buenos Aires
1051,28,9,51454.43,59.6,91.4,3,5,4.2,Sales,Buenos Aires
1052,36,7,23930.33,81.4,89.6,3,7,40.3,HR,Buenos Aires
1053,41,13,74371.43,72.4,60.2,3,10,47.0,IT,Mendoza
1054,42,24,76244.52,79.6,68.1,0,6,38.5,IT,Buenos Aires
1055,21,0,19212.42,77.4,61.0,4,4,44.7,HR,Rosario
1056,44,15,41975.95,76.8,67.7,2,10,58.0,Finance,Rosario
1057,26,0,28851.76,74.5,67.3,0,8,32.3,IT,Córdoba
1058,53,32,57534.11,82.9,81.5,3,9,73.1,Finance,Mendoza
1059,50,25,80495.1,73.0,59.3,3,7,17.7,Marketing,Buenos Aires
1060,61,37,77296.44,60.4,38.6,0,6,49.3,Finance,Buenos Aires
1061,53,28,80959.12,80.7,50.7,5,6,39.8,IT,Mendoza
1062,36,11,36975.69,66.9,57.7,3,10,43.9,Finance,Buenos Aires
1063,63,38,89433.72,61.8,62.1,5,4,51.4,Marketing,Córdoba
1064,38,14,38846.35,64.8,72.2,4,5,30.7,Finance,Rosario
1065,34,8,36981.56,77.8,57.0,0,7,56.5,Marketing,Mendoza
1066,60,36,118140.69,74.0,55.5,1,7,69.6,Sales,Rosario
1067,36,18,78175.89,53.7,58.8,5,7,35.7,Sales,Rosario
1068,23,5,39317.18,71.2,56.6,3,6,32.2,HR,Córdoba
1069,41,12,46220.59,86.7,63.3,0,12,59.0,HR,Mendoza
1070,55,27,86263.02,70.5,62.8,0,6,54.7,IT,Buenos Aires
1071,28,3,47349.56,73.3,78.3,3,10,16.5,Marketing,Buenos Aires
1072,40,20,48552.72,85.4,58.1,3,5,48.3,Finance,Mendoza
1073,25,0,23838.42,83.0,65.7,1,6,51.6,HR,Rosario
1074,50,31,53470.63,85.2,63.5,1,11,39.2,IT,Rosario
1075,41,19,76046.53,47.3,79.7,3,0,62.5,HR,Mendoza
1076,34,13,79375.36,92.3,68.1,2,6,15.9,IT,Rosario
1077,30,12,47801.24,81.4,82.6,0,13,7.7,Sales,Córdoba
1078,45,18,25524.85,99.6,56.2,0,0,56.0,Finance,Buenos Aires
1079,50,26,80933.36,67.2,69.4,1,12,27.8,Sales,Rosario
1080,62,41,85238.66,57.4,63.1,3,8,39.5,Sales,Rosario
1081,39,15,42049.76,75.1,55.3,1,5,23.0,HR,Córdoba
1082,27,9,50598.65,72.2,69.2,0,2,52.8,IT,Córdoba
1083,57,34,90018.31,81.5,90.8,5,8,45.1,Finance,Rosario
1084,48,24,60878.37,85.7,59.8,4,4,38.0,IT,Buenos Aires
1085,51,29,67455.92,74.1,68.5,3,3,21.5,Marketing,Rosario
1086,24,0,26887.54,72.6,54.3,1,7,37.6,Marketing,Buenos Aires
1087,34,14,44058.02,80.2,52.5,4,10,45.0,HR,Mendoza
1088,54,35,71361.44,72.4,60.6,5,14,32.0,Finance,Buenos Aires
1089,57,33,79411.55,71.6,64.6,4,5,32.5,IT,Mendoza
1090,39,11,49893.89,85.4,65.1,1,6,40.2,HR,Córdoba
1091,56,34,83528.45,87.6,67.3,2,9,50.1,Sales,Mendoza
1092,57,39,73997.37,85.8,50.2,5,6,46.4,HR,Mendoza
1093,37,8,54235.97,73.3,62.5,0,12,57.6,Finance,Rosario
1094,60,37,50517.83,53.6,76.0,1,7,38.7,Sales,Buenos Aires
1095,32,12,39904.52,73.5,53.7,0,9,55.2,HR,Rosario
1096,30,5,24697.02,67.4,65.7,3,11,22.5,Finance,Buenos Aires
1097,50,29,79422.68,73.7,73.5,2,10,46.0,IT,Rosario
1098,48,19,67624.93,68.3,60.6,0,10,45.2,IT,Córdoba
1099,26,5,50901.47,74.8,74.1,5,9,75.4,Sales,Rosario
1100,57,33,73713.93,64.6,51.7,3,4,29.9,Sales,Córdoba
1101,28,4,40998.74,62.2,80.7,1,8,22.0,Finance,Mendoza
1102,56,36,92737.28,87.2,74.4,5,8,28.4,Finance,Córdoba
1103,20,0,-673.09,65.3,70.7,4,9,30.5,Finance,Córdoba
1104,55,36,118308.1,75.0,83.5,0,9,46.1,Finance,Mendoza
1105,55,30,57418.37,84.5,66.0,4,5,21.1,IT,Rosario
1106,55,28,81692.46,84.1,62.6,0,3,45.2,IT,Buenos Aires
1107,49,20,66849.4,82.9,86.5,5,9,40.5,IT,Buenos Aires
1108,41,20,65134.55,78.0,92.1,2,2,53.7,Finance,Mendoza
1109,51,30,71581.35,82.2,61.7,1,2,49.3,HR,Buenos Aires
1110,32,8,51808.79,88.7,68.6,0,6,52.4,Finance,Buenos Aires
1111,55,29,53794.49,79.3,82.5,5,8,47.4,HR,Mendoza
1112,45,16,52812.57,56.6,69.1,3,4,57.5,HR,Buenos Aires
1113,40,22,56141.88,69.7,77.1,3,7,17.6,IT,Rosario
1114,42,22,54440.53,82.0,79.4,5,7,18.2,Finance,Mendoza
1115,45,24,74631.22,68.7,63.3,3,7,39.7,IT,Córdoba
1116,21,0,41162.18,91.2,75.0,1,7,41.3,Sales,Mendoza
1117,26,3,25251.16,74.4,69.9,4,2,24.6,Marketing,Córdoba
1118,31,3,42110.22,75.9,55.4,3,4,48.4,Finance,Rosario
1119,25,7,38346.11,86.2,58.1,1,11,20.4,HR,Córdoba
1120,39,12,33209.02,73.2,62.2,5,13,36.0,HR,Córdoba
1121,50,25,66130.72,76.8,81.1,4,8,39.7,Sales,Rosario
1122,49,24,63707.71,84.0,81.5,1,9,48.6,IT,Córdoba
1123,41,15,41550.1,60.3,79.0,3,13,32.4,Sales,Buenos Aires
1124,58,39,101627.24,72.1,75.3,5,8,58.2,Sales,Córdoba
1125,45,19,62719.69,83.3,75.0,4,14,65.2,HR,Rosario
1126,23,3,6540.25,75.7,73.3,1,6,63.1,IT,Córdoba
1127,54,30,54227.11,89.7,74.9,5,4,67.1,Marketing,Córdoba
1128,45,19,65570.27,59.2,75.7,0,8,56.0,Sales,Buenos Aires
1129,48,23,54170.7,58.1,53.1,3,11,49.2,IT,Rosario
1130,45,24,72730.62,82.7,60.5,3,8,28.8,Sales,Córdoba
1131,44,22,76313.97,83.7,57.7,0,14,31.5,Finance,Buenos Aires
1132,24,1,7735.71,73.1,83.3,4,8,54.2,Marketing,Rosario
1133,45,27,52426.94,79.0,89.8,1,9,13.3,Finance,Córdoba
1134,55,29,102316.48,82.5,44.0,5,9,59.9,Marketing,Buenos Aires
1135,33,14,55473.56,66.9,88.8,5,10,30.9,Sales,Córdoba
1136,47,24,61911.39,67.9,71.0,3,7,32.0,HR,Rosario
1137,21,0,10990.89,76.9,82.2,3,5,51.6,Finance,Rosario
1138,35,17,47943.39,84.0,76.1,0,6,44.2,Finance,Rosario
1139,39,10,25141.41,63.3,87.3,5,3,33.7,IT,Mendoza
1140,64,42,113851.18,73.0,72.5,4,7,26.3,IT,Córdoba
1141,29,11,33148.73,72.6,53.6,2,8,17.5,Marketing,Rosario
1142,32,7,54003.02,79.2,68.7,0,9,7.6,Sales,Rosario
1143,38,14,44190.57,74.9,76.2,3,9,61.9,Marketing,Mendoza
1144,64,39,79549.75,69.5,67.4,5,10,36.8,Finance,Mendoza
1145,58,31,74405.48,87.5,77.9,5,2,26.7,HR,Mendoza
1146,21,0,-14362.5,69.6,69.2,0,6,51.3,Sales,Mendoza
1147,30,3,28588.47,72.1,62.9,4,7,28.3,Marketing,Buenos Aires
1148,56,34,83648.21,59.1,57.0,0,4,28.6,Finance,Rosario
1149,22,0,37371.14,67.9,65.3,2,6,57.8,Marketing,Rosario
1150,58,39,66905.43,80.2,72.5,2,12,51.1,Marketing,Córdoba
1151,32,7,55028.0,78.2,46.5,0,9,42.7,IT,Rosario
1152,61,40,109308.99,81.0,60.6,0,6,31.7,Finance,Mendoza
1153,33,7,56380.65,80.5,46.0,5,6,43.5,HR,Rosario
1154,39,12,45809.18,95.9,62.6,3,9,48.7,HR,Mendoza
1155,49,21,78008.45,67.5,84.4,4,12,43.9,Marketing,Mendoza
1156,25,0,2931.34,58.8,55.8,3,5,58.2,Sales,Buenos Aires
1157,45,26,82495.71,64.5,78.4,2,10,25.0,Marketing,Rosario
1158,42,23,54832.56,68.0,104.2,0,4,36.1,Sales,Mendoza
1159,55,26,47028.97,65.3,87.4,3,9,48.4,IT,Rosario
1160,64,42,83737.89,75.9,71.6,4,10,31.4,HR,Buenos Aires
1161,49,31,80882.97,87.5,80.3,1,8,54.3,HR,Buenos Aires
1162,38,17,43235.51,90.4,53.6,2,8,60.1,Marketing,Córdoba
1163,38,10,48641.1,80.0,51.1,2,12,40.9,IT,Buenos Aires
1164,38,16,26676.44,96.4,70.3,5,10,45.7,HR,Buenos Aires
1165,56,38,61493.54,71.4,74.8,0,7,36.9,Sales,Buenos Aires
1166,34,8,59985.81,58.7,83.1,0,9,35.6,HR,Córdoba
1167,27,7,51157.0,85.5,63.2,1,3,59.2,Finance,Buenos Aires
1168,35,13,32660.55,56.6,72.3,0,13,27.5,Sales,Buenos Aires
1169,21,3,30355.01,67.4,71.9,5,8,52.4,Finance,Rosario
1170,24,0,40292.61,80.2,68.4,1,8,32.6,HR,Buenos Aires
1171,24,1,33088.01,74.0,69.1,2,10,27.3,IT,Buenos Aires
1172,54,26,74023.35,73.1,59.7,1,10,55.1,HR,Córdoba
1173,52,30,95427.31,63.2,73.4,4,5,50.4,Finance,Buenos Aires
1174,51,31,69839.31,74.9,72.3,3,7,30.2,Marketing,Buenos Aires
1175,40,21,63267.68,85.0,64.7,2,7,37.5,Sales,Rosario
1176,52,32,82332.27,75.2,78.0,4,6,38.1,Finance,Mendoza
1177,27,4,28108.57,66.7,82.3,0,3,43.5,Sales,Mendoza
1178,60,41,92952.92,62.5,78.1,4,6,32.7,IT,Buenos Aires
1179,42,20,62093.02,66.9,57.5,2,5,66.0,Finance,Buenos Aires
1180,62,34,86716.11,78.9,71.2,2,11,23.4,HR,Buenos Aires
1181,26,0,9273.59,78.4,59.1,0,13,17.3,Sales,Rosario
1182,42,17,67626.94,67.0,71.2,0,5,38.2,Sales,Mendoza
1183,51,23,51754.22,52.9,59.1,4,6,10.2,Finance,Buenos Aires
1184,42,15,48726.5,79.2,85.3,5,16,28.3,Sales,Mendoza
1185,40,15,47570.79,66.0,79.4,5,4,30.5,Marketing,Mendoza
1186,27,0,30371.55,81.9,83.8,1,13,40.2,Finance,Mendoza
1187,37,18,25613.44,67.4,82.6,4,8,37.0,HR,Córdoba
1188,30,3,43763.65,65.1,66.8,0,7,43.5,IT,Córdoba
1189,33,12,36445.14,76.5,64.9,4,12,28.3,Marketing,Rosario
1190,50,24,86499.45,98.6,90.9,3,15,34.3,HR,Mendoza
1191,48,20,53827.53,82.5,68.0,5,11,48.7,Marketing,Córdoba
1192,47,24,67467.35,76.4,53.7,0,8,6.0,HR,Córdoba
1193,36,17,84306.79,78.6,82.1,4,5,46.3,IT,Mendoza
1194,63,41,94639.93,57.5,71.7,2,7,7.8,Sales,Mendoza
1195,23,1,45382.75,63.8,88.1,3,9,40.2,Sales,Córdoba
1196,35,6,36385.68,49.9,72.9,3,6,47.8,HR,Mendoza
1197,25,0,31231.28,92.3,69.8,4,8,44.6,HR,Mendoza
1198,35,11,45849.38,90.3,88.3,3,4,30.7,Finance,Rosario
1199,63,34,98917.77,78.9,51.5,2,11,43.9,Marketing,Córdoba
1200,36,13,38117.03,76.4,63.0,2,7,25.9,Finance,Mendoza
1201,60,38,78639.27,59.5,59.4,0,9,60.7,Sales,Rosario
1202,42,14,40621.36,72.8,43.7,4,6,52.5,Finance,Córdoba
1203,51,25,71495.66,92.9,80.5,4,10,25.8,HR,Buenos Aires
1204,40,16,50487.72,76.3,63.3,3,11,60.7,Marketing,Rosario
1205,31,8,50054.12,69.4,80.9,4,10,42.9,Sales,Buenos Aires
1206,54,28,94970.98,57.4,74.7,1,6,23.1,Marketing,Córdoba
1207,63,36,75162.42,88.8,77.3,1,7,57.5,Marketing,Rosario
1208,31,8,28390.77,74.3,64.5,5,13,64.7,Sales,Mendoza
1209,55,37,70056.41,57.4,60.8,5,5,36.2,Marketing,Córdoba
1210,31,12,77055.59,65.8,71.1,5,7,45.5,Sales,Mendoza
1211,52,33,88970.04,62.2,81.0,0,12,39.8,IT,Buenos Aires
1212,55,32,89797.03,73.7,69.4,3,6,48.7,IT,Rosario
1213,40,15,31896.87,77.1,61.6,4,10,51.9,Finance,Buenos Aires
1214,53,26,71782.45,70.0,55.6,0,8,54.8,Marketing,Rosario
1215,32,12,54238.72,82.8,72.4,5,4,12.3,Finance,Córdoba
1216,23,0,21208.63,75.8,63.4,4,6,32.2,Sales,Córdoba
1217,24,0,41135.58,85.6,69.1,1,5,54.5,Sales,Rosario
1218,40,22,99277.47,71.4,67.1,3,6,29.5,HR,Buenos Aires
1219,60,38,79194.06,105.5,64.7,5,3,45.2,Finance,Buenos Aires
1220,25,4,16868.69,69.4,73.5,5,9,26.3,Marketing,Mendoza
1221,40,12,33433.66,66.0,76.7,4,12,50.2,HR,Mendoza
1222,51,22,88692.99,64.7,93.6,5,5,40.6,IT,Rosario
1223,29,2,44235.33,72.9,79.1,4,8,49.1,Finance,Córdoba
1224,52,28,73367.08,57.8,89.1,5,7,45.9,Marketing,Córdoba
1225,33,10,43548.39,77.9,60.2,5,6,18.9,Sales,Mendoza
1226,56,35,75751.85,55.9,50.8,0,7,71.4,HR,Mendoza
1227,46,19,72550.41,76.6,69.8,3,10,20.4,Marketing,Córdoba
1228,44,25,64301.47,61.5,80.3,2,10,77.3,Marketing,Córdoba
1229,27,6,31898.85,71.2,78.4,2,8,7.6,Finance,Rosario
1230,40,21,71931.85,81.0,84.5,1,8,41.0,Sales,Córdoba
1231,58,35,85180.08,98.0,39.6,4,12,18.9,Marketing,Rosario
1232,20,0,21475.51,64.2,85.0,5,8,64.2,IT,Mendoza
1233,54,34,86358.63,73.5,74.0,2,5,24.8,HR,Córdoba
1234,42,20,72930.33,67.8,51.5,4,6,23.6,IT,Mendoza
1235,52,24,92897.4,66.3,78.7,1,7,40.5,Sales,Córdoba
1236,49,25,78782.29,67.9,72.0,4,2,61.5,Finance,Mendoza
1237,39,12,58649.71,83.2,74.6,0,4,58.5,Marketing,Buenos Aires
1238,33,5,31002.19,70.1,82.0,5,4,36.7,HR,Córdoba
1239,48,20,50383.03,97.5,75.2,2,10,35.2,HR,Mendoza
1240,26,4,42009.79,79.2,52.3,3,5,47.8,HR,Rosario
1241,46,18,59968.61,64.9,68.3,4,9,39.1,IT,Mendoza
1242,24,0,3660.57,71.3,50.6,0,8,41.2,Finance,Buenos Aires
1243,49,20,56078.96,67.0,77.8,5,9,37.9,Finance,Córdoba
1244,48,26,70556.54,83.0,86.8,3,10,49.2,Marketing,Mendoza
1245,23,3,22743.13,58.6,55.1,5,5,46.8,Marketing,Córdoba
1246,54,29,99426.03,61.6,61.9,3,11,62.8,HR,Córdoba
1247,38,9,48397.59,69.1,59.4,1,6,30.4,HR,Córdoba
1248,55,27,94197.62,81.8,64.6,3,11,30.3,IT,Mendoza
1249,21,0,28951.38,87.3,74.9,3,6,38.6,Sales,Córdoba
1250,28,9,42420.82,88.8,64.7,5,5,37.0,IT,Buenos Aires
1251,42,19,45151.03,80.3,77.8,3,6,52.9,Finance,Buenos Aires
1252,28,2,28778.94,74.2,82.8,2,6,24.2,Finance,Mendoza
1253,34,10,43195.81,82.9,83.2,1,4,59.1,Sales,Rosario
1254,49,27,53093.29,63.6,56.6,1,7,35.7,IT,Mendoza
1255,26,4,24107.09,56.6,86.6,3,6,57.7,IT,Mendoza
1256,50,32,77750.76,79.4,87.6,2,7,78.0,Sales,Córdoba
1257,24,3,36602.19,64.9,88.6,2,9,55.4,Finance,Córdoba
1258,27,1,33720.25,74.3,68.1,0,10,49.4,IT,Buenos Aires
1259,46,26,63080.22,76.2,61.0,5,11,56.7,Sales,Rosario
1260,55,26,78833.04,77.5,58.2,5,8,35.6,Marketing,Buenos Aires
1261,27,9,38468.82,84.4,56.8,1,8,43.9,Finance,Buenos Aires
1262,33,8,-3644.3,83.3,70.1,0,13,29.9,HR,Mendoza
1263,61,38,86129.47,77.0,80.2,5,8,30.9,Marketing,Rosario
1264,64,37,107784.83,70.6,85.7,5,6,44.6,Marketing,Rosario
1265,46,18,32172.91,76.1,64.2,5,7,41.4,Marketing,Córdoba
1266,40,16,55490.37,69.0,69.5,3,6,46.5,Marketing,Rosario
1267,35,10,66778.92,73.0,68.7,4,5,42.0,HR,Buenos Aires
1268,47,21,51390.81,101.2,62.4,4,7,35.8,Sales,Rosario
1269,46,22,64632.24,76.8,78.8,1,8,53.9,Sales,Buenos Aires
1270,33,13,28839.76,79.5,74.4,3,11,30.7,IT,Rosario
1271,21,0,49408.47,67.9,71.7,1,3,43.8,Finance,Córdoba
1272,26,6,34550.01,85.2,74.3,4,7,57.2,Sales,Córdoba
1273,63,40,97699.4,82.6,77.4,5,9,50.6,HR,Rosario
1274,38,13,68714.51,82.7,77.3,0,9,39.6,HR,Rosario
1275,41,21,72722.18,77.1,59.9,0,11,13.1,Marketing,Buenos Aires
1276,41,21,49665.57,85.3,80.8,1,4,34.9,IT,Buenos Aires
1277,55,28,65690.83,87.7,73.1,0,17,71.9,HR,Buenos Aires
1278,22,0,32423.97,77.8,64.8,0,8,36.3,IT,Mendoza
1279,23,3,21038.18,73.9,72.8,5,8,39.9,Sales,Rosario
1280,32,6,4041.35,83.9,74.1,3,6,42.5,HR,Rosario
1281,41,15,51201.39,66.0,83.0,4,10,46.4,IT,Rosario
1282,50,23,44196.81,67.8,57.4,3,7,30.2,Finance,Mendoza
1283,42,15,76244.23,74.5,85.9,4,12,51.4,Sales,Córdoba
1284,39,10,45651.81,57.6,70.3,4,6,46.1,IT,Córdoba
1285,62,38,79822.37,83.3,63.9,0,7,14.2,Finance,Mendoza
1286,27,6,25320.51,65.4,63.6,0,10,1.8,Sales,Buenos Aires
1287,45,17,27259.04,70.3,58.0,2,9,31.9,Marketing,Rosario
1288,44,23,49908.07,72.9,49.1,2,6,21.8,Finance,Mendoza
1289,41,20,76244.85,75.4,78.1,5,9,44.6,Sales,Mendoza
1290,56,29,110676.79,71.6,93.8,1,10,34.4,IT,Córdoba
1291,32,4,43095.95,74.3,50.6,1,19,47.1,Sales,Mendoza
1292,62,40,95619.36,74.4,58.6,3,7,47.2,IT,Córdoba
1293,34,8,32920.61,70.5,79.0,1,8,24.9,Sales,Rosario
1294,44,15,37652.56,67.3,69.5,5,3,34.5,Marketing,Buenos Aires
1295,43,16,84696.49,85.8,80.0,0,8,31.7,Marketing,Córdoba
1296,58,40,94168.77,54.0,68.8,5,3,54.0,Finance,Rosario
1297,39,14,81934.45,72.9,63.0,3,9,37.4,Finance,Rosario
1298,32,12,67502.79,70.3,67.3,5,10,58.8,Finance,Córdoba
1299,20,0,-1111.95,79.2,41.4,1,5,59.6,HR,Córdoba
1300,36,18,47410.71,60.5,56.3,5,2,38.0,Sales,Córdoba
1301,57,28,65364.32,70.0,81.4,5,5,31.1,Finance,Buenos Aires
1302,20,0,23802.3,74.0,84.3,2,3,26.9,Marketing,Rosario
1303,60,37,90695.29,85.7,86.9,1,9,50.6,Finance,Buenos Aires
1304,44,24,113143.59,78.3,75.3,1,9,38.5,IT,Rosario
1305,26,0,8841.58,63.2,42.9,0,7,29.1,HR,Buenos Aires
1306,33,11,48234.55,70.1,62.4,3,5,53.5,Sales,Rosario
1307,44,18,66647.62,83.9,85.9,5,3,53.7,Marketing,Córdoba
1308,34,16,53776.42,63.0,89.5,3,9,25.8,HR,Mendoza
1309,24,1,28452.71,74.2,86.4,5,6,45.4,Finance,Rosario
1310,49,21,47127.87,74.9,67.2,4,3,48.8,Finance,Rosario
1311,50,21,64397.29,71.1,54.3,4,7,65.5,Marketing,Mendoza
1312,25,5,41670.98,102.0,69.5,4,4,37.5,Sales,Córdoba
1313,32,10,47914.01,70.9,70.2,5,7,40.0,Marketing,Rosario
1314,30,8,47953.01,79.5,88.8,5,9,49.9,IT,Córdoba
1315,49,25,91189.12,67.3,72.7,0,4,59.0,Sales,Buenos Aires
1316,52,28,89454.5,80.3,70.2,3,11,46.0,IT,Buenos Aires
1317,52,33,85469.42,83.7,70.9,2,17,43.4,Finance,Mendoza
1318,62,35,70423.62,69.1,74.8,5,3,31.6,HR,Rosario
1319,54,34,77199.92,74.5,77.5,1,4,35.1,Finance,Mendoza
1320,34,13,45105.53,66.0,61.3,4,9,37.8,Sales,Buenos Aires
1321,24,0,28785.19,63.6,57.3,2,10,50.5,Marketing,Córdoba
1322,47,21,55625.01,85.4,86.4,5,6,46.7,IT,Mendoza
1323,61,39,81164.0,69.5,50.3,4,13,29.7,HR,Mendoza
1324,63,35,70177.02,50.9,89.7,2,9,52.7,HR,Mendoza
1325,30,8,14632.33,92.7,47.1,5,7,37.5,Marketing,Rosario
1326,30,6,32275.74,67.0,63.0,1,12,37.7,HR,Buenos Aires
1327,21,1,4755.02,72.5,81.7,0,5,51.5,HR,Córdoba
1328,26,6,20792.11,91.4,70.0,3,9,53.4,Sales,Rosario
1329,44,21,56891.47,73.6,54.2,2,7,45.2,Marketing,Buenos Aires
1330,44,20,40961.24,73.4,75.1,0,8,68.1,Finance,Mendoza
1331,36,9,46896.28,62.7,70.8,5,5,11.9,Sales,Rosario
1332,33,11,55903.35,58.7,67.4,0,7,54.5,Marketing,Mendoza
1333,57,29,68958.59,73.3,62.5,3,7,25.0,HR,Mendoza
1334,40,15,45444.59,78.6,69.6,1,6,39.7,HR,Rosario
1335,56,38,101461.45,78.1,63.0,1,9,40.4,Finance,Buenos Aires
1336,63,37,80890.07,70.2,99.2,1,8,39.3,HR,Buenos Aires
1337,34,10,31258.99,75.2,67.1,2,10,26.5,Sales,Mendoza
1338,29,7,55547.48,56.6,65.5,4,15,19.8,Finance,Córdoba
1339,62,39,108462.82,79.6,63.5,1,2,11.3,Finance,Buenos Aires
1340,48,27,82623.25,76.6,91.3,4,9,37.0,IT,Buenos Aires
1341,33,8,53284.67,94.7,50.3,2,9,42.2,Finance,Rosario
1342,47,23,36740.82,75.1,74.3,4,12,49.0,HR,Rosario
1343,43,20,81307.53,65.6,67.1,2,9,57.6,Marketing,Rosario
1344,60,39,101080.93,74.5,52.9,2,5,52.7,Sales,Córdoba
1345,31,9,56361.72,71.7,60.2,3,11,54.9,Finance,Buenos Aires
1346,64,41,104607.43,79.3,73.8,4,8,25.1,IT,Buenos Aires
1347,62,39,95933.87,75.3,59.6,2,13,56.7,Finance,Buenos Aires
1348,28,7,33470.36,62.4,73.1,5,8,45.7,Finance,Buenos Aires
1349,27,3,35907.17,58.6,90.7,3,8,20.6,Sales,Buenos Aires
1350,43,23,61723.78,77.6,72.0,1,9,56.2,IT,Buenos Aires
1351,22,0,38018.14,88.8,52.6,0,4,26.9,HR,Córdoba
1352,33,14,26403.15,75.8,59.8,2,6,24.6,IT,Rosario
1353,39,16,45676.36,83.1,66.6,0,9,63.3,Sales,Buenos Aires
1354,63,36,120472.35,85.1,65.8,0,10,43.7,Marketing,Rosario
1355,64,37,82208.79,77.7,71.8,2,5,24.5,Marketing,Rosario
1356,26,0,21419.74,66.9,73.7,1,10,32.1,Marketing,Córdoba
1357,60,34,72961.29,77.0,90.8,5,16,56.0,Finance,Córdoba
1358,24,6,40837.69,87.1,70.0,4,5,22.1,Marketing,Rosario
1359,53,31,69756.03,80.3,56.2,4,7,38.0,Sales,Córdoba
1360,58,33,81615.84,82.5,83.8,3,12,38.0,IT,Córdoba
1361,60,33,97133.0,70.4,85.2,0,3,81.0,IT,Buenos Aires
1362,30,6,25318.55,73.0,72.8,5,5,18.3,Marketing,Rosario
1363,60,32,94429.17,73.8,67.0,2,6,18.9,Sales,Rosario
